Index,Pays,Consommation_Alcool_Par_Habitant,Taux_Croissance_Pop,Taux_Alphabetisation,Europe
1,Albania,7.0,0.4,96,0
2,Algeria,1.0,1.5,73,0
3,Angola,7.5,3.1,70,0
4,Antigua and Barbuda,5.4,1.3,99,0
5,Argentina,9.3,0.9,98,0
6,Armenia,5.3,0.1,100,0
7,Azerbaijan,2.3,1.2,100,0
8,Bahrain,2.1,6.8,91,0
9,Bangladesh,0.2,1.4,56,0
10,Belarus,17.5,-0.5,100,0
11,Benin,2.1,3.1,42,0
12,Bhutan,0.7,2.4,53,0
13,Bolivia (Plurinational State of),5.9,1.8,91,0
14,Bosnia and Herzegovina,7.1,0.2,98,0
15,Botswana,8.4,1.3,84,0
16,Brazil,8.7,1.1,90,0
17,Brunei Darussalam,0.9,2,95,0
18,Bulgaria,11.4,-0.7,98,1
19,Burkina Faso,6.8,2.9,29,0
20,Burundi,9.3,2.7,67,0
21,Cabo Verde,6.9,1.3,85,0
22,Cambodia,5.5,1.3,78,0
23,Cameroon,8.4,2.2,71,0
24,Central African Republic,3.8,1.7,55,0
25,Chad,4.4,3.1,34,0
26,Chile,9.6,1,99,0
27,China,6.7,0.6,94,0
28,Colombia,6.2,1.5,93,0
29,Comoros,0.2,2.7,74,0
30,Costa Rica,5.4,1.7,96,0
31,Côte d’Ivoire,6.0,1.7,55,0
32,Croatia,12.2,-0.2,99,0
33,Cuba,5.2,0.1,100,0
34,Cyprus,9.2,1.6,98,0
35,Democratic People's Republic of Korea,3.7,0.6,100,0
36,Democratic Republic of the Congo,3.6,2.8,67,0
37,Dominican Republic,6.9,1.4,88,0
38,Ecuador,7.2,1.6,84,0
39,Egypt,0.4,1.8,66,0
40,El Salvador,3.2,0.4,84,0
41,Equatorial Guinea,6.6,3.0,93,0
42,Eritrea,1.1,3.6,67,0
43,Estonia,10.3,-0.2,100,1
44,Ethiopia,4.2,2.3,30,0
45,Gabon,10.9,2.0,88,0
46,Gambia,3.4,2.9,46,0
47,Georgia,7.7,-0.9,100,0
48,Ghana,4.8,2.4,67,0
49,Greece,10.3,0.3,97,1
50,Guatemala,3.8,2.5,74,0
51,Guinea,0.7,1.8,39,0
52,Guinea-Bissau,4.0,2.0,52,0
53,Haiti,6.4,1.4,49,0
54,Honduras,4.0,2,84,0
55,Hungary,13.3,-0.2,99,1
56,India,4.3,1.5,63,0
57,Indonesia,0.6,1.2,92,0
58,Iran (Islamic Republic,1.0,1.2,85,0
59,Iraq,0.5,2.8,78,0
60,Italy,6.7,0.6,99,1
61,Jamaica,4.9,0.6,86,0
62,Jordan,0.7,2.5,92,0
63,Kazakhstan,10.3,0.7,100,0
64,Kenya,4.3,2.6,87,0
65,Kuwait,0.1,3.4,94,0
66,Kyrgyzstan,4.3,0.7,99,0
67,Lao People's Democratic Republic,7.3,1.5,73,0
68,Latvia,12.3,-0.6,100,1
69,Lebanon,2.4,1.2,90,0
70,Lesotho,6.5,1.0,90,0
71,Liberia,4.7,3.4,59,0
72,Libya,0.1,1.9,89,0
73,Lithuania,15.4,-0.5,100,0
74,Madagascar,1.8,3.0,64,0
75,Malawi,2.5,2.8,74,0
76,Malaysia,1.3,1.9,92,0
77,Maldives,1.2,1.5,98,0
78,Mali,1.1,3.1,26,0
79,Malta,7.0,0.5,92,0
80,Mauritania,0.1,2.7,57,0
81,Mauritius,3.6,0.8,88,0
82,Mexico,7.2,1.3,93,0
83,Mongolia,6.9,1.3,97,0
84,Morocco,0.9,1.0,56,0
85,Mozambique,2.3,2.5,55,0
86,Myanmar,0.7,0.6,92,0
87,Namibia,10.8,1.9,89,0
88,Nepal,2.2,2.1,59,0
89,Nicaragua,5.0,1.3,78,0
90,Niger,0.3,3.5,29,0
91,Nigeria,10.1,2.5,61,0
92,Oman,0.9,2.1,87,0
93,Pakistan,0.1,1.8,56,0
94,Panama,8.0,1.7,94,0
95,Papua New Guinea,3.0,2.4,60,0
96,Paraguay,8.8,1.9,95,0
97,Peru,8.1,1.2,90,0
98,Philippines,5.4,1.9,95,0
99,Poland,12.5,0.0,100,1
100,Portugal,12.9,0.3,95,1
101,Qatar,1.5,10.9,95,0
102,Republic of Moldova,16.8,-1.4,98,0
103,Romania,14.4,-0.3,98,1
104,Russian Federation,15.1,-0.3,100,0
105,Rwanda,9.8,2.7,71,0
106,Samoa,3.6,0.4,99,0
107,Sao Tome and Principe,7.1,1.6,89,0
108,Saudi Arabia,0.2,3.1,86,0
109,Senegal,0.6,2.7,50,0
110,Seychelles,5.6,0.9,92,0
111,Sierra Leone,8.7,3.5,41,0
112,Singapore,2.0,2.6,95,0
113,Slovenia,11.6,0.2,100,0
114,South Africa,11.0,1.1,89,0
115,Spain,11.2,1.3,98,1
116,Sri Lanka,3.7,1.1,91,0
117,Sudan,2.7,2.4,70,0
118,Suriname,6.6,1.2,95,0
119,Swaziland,5.7,1.1,87,0
120,Sweden,9.2,0.6,100,1
121,Switzerland,10.7,0.7,100,1
122,Syrian Arab Republic,1.2,2.4,84,0
123,Tajikistan,2.8,1.1,100,0
124,Thailand,7.1,0.9,94,0
125,The former Yugoslav Republic of Macedonia,6.7,0.3,97,0
126,Timor-Leste,0.6,3.0,51,0
127,Togo,2.3,2.3,57,0
128,Tonga,1.6,0.6,99,0
129,Trinidad and Tobago,6.7,0.4,99,0
130,Tunisia,1.5,1.0,78,0
131,Turkey,2.0,1.3,91,0
132,Turkmenistan,4.3,1.1,100,0
133,Uganda,9.8,3.2,73,0
134,Ukraine,13.9,-0.7,100,0
135,United Arab Emirates,4.3,9.1,90,0
136,United Kingdom of Great Britain and Northern Ireland,11.6,0.5,100,1
137,United Republic of Tanzania,7.7,2.8,73,0
